,COURSE NUMBER,SECTION,TITLE,EXAM DATE,TIME,BUILDING,ROOM,ROW,FROM,TO
578,MATH 264,001,Adv Calculus for Engineers,12/16/2019,18:30,GYM,Fieldhouse,5-10,AAA,ZZZ
579,MATH 271,001,Linear Algebra and PDE's,12/16/2019,18:30,GYM,Fieldhouse,40-46,AAA,ZZZ
580,MATH 314,001,Advanced Calculus,12/9/2019,9:00,GYM,Fieldhouse,42-46,AAA,ZZZ
581,MATH 315,001,Ordinary Differential Eqns,12/5/2019,18:30,GYM,Fieldhouse,41-46,AAA,ZZZ
582,MATH 316,001,Complex Variables,12/11/2019,14:00,GYM,main gym,41-45,AAA,ZZZ
583,MATH 317,001,Numerical Analysis,12/17/2019,9:00,GYM,main gym,38-42,AAA,ZZZ
584,MATH 318,001,Mathematical Logic,12/13/2019,14:00,GYM,305,1-7,AAA,MAR
585,MATH 318,001,Mathematical Logic,12/13/2019,14:00,GYM,408,1-7,MAT,ZZZ
586,MATH 323,001,Probability,12/20/2019,9:00,GYM,main gym,6-25,AAA,ZZZ
587,MATH 323,002,Probability,12/20/2019,9:00,GYM,main gym,6-25,AAA,ZZZ
588,MATH 324,001,Statistics,12/6/2019,14:00,GYM,Fieldhouse,35-39,AAA,ZZZ
589,MATH 326,001,Nonlinear Dynamics and Chaos,12/10/2019,9:00,GYM,main gym,38-43,AAA,ZZZ
590,MATH 338,001,History & Philosophy of Math,12/13/2019,9:00,GYM,main gym,1-14,AAA,ZZZ
591,MATH 348,001,Euclidean Geometry,12/12/2019,14:00,GYM,Fieldhouse,10,AAA,ZZZ
592,MATH 350,001,Honours Discrete Mathematics,12/6/2019,14:00,GYM,Fieldhouse,45-46,AAA,ZZZ
593,MATH 356,001,Honours Probability,12/20/2019,9:00,GYM,Fieldhouse,44-46,AAA,ZZZ
594,MATH 376,001,Honours Nonlinear Dynamics,12/10/2019,9:00,GYM,main gym,38-43,AAA,ZZZ
595,MATH 398,001,Honours Euclidean Geometry,12/12/2019,14:00,GYM,Fieldhouse,10,AAA,ZZZ
596,MATH 417,001,Linear Optimization,12/20/2019,9:00,GYM,main gym,38-39,AAA,ZZZ
597,MATH 423,001,Regression&Anal of Variance,12/18/2019,14:00,ENGTR,0070,,AAA,GEO
598,MATH 423,001,Regression&Anal of Variance,12/18/2019,14:00,ENGTR,0100,,GRA,ZZZ
599,MATH 427,001,Statistical Quality Control,12/9/2019,9:00,BURN,306,,AAA,ZZZ
600,MATH 454,001,Honours Analysis 3,12/17/2019,14:00,GYM,Fieldhouse,43-45,AAA,ZZZ
601,MATH 456,001,Honours Algebra 3,12/12/2019,9:00,GYM,Fieldhouse,28-29,AAA,ZZZ
602,MATH 466,001,Honours Complex Analysis,12/5/2019,9:00,BURN,920,,AAA,ZZZ
603,MATH 475,001,Honours PDE's,12/19/2019,9:00,GYM,Fieldhouse,4-6,AAA,ZZZ
604,MATH 517,001,Honours Linear Optimization,12/20/2019,9:00,GYM,main gym,38-39,AAA,ZZZ
605,MATH 533,001,Honours Regression and ANOVA,12/18/2019,14:00,ENGTR,0060,,AAA,ZZZ
606,MATH 553,001,Algorithmic Game Theory,12/9/2019,9:00,GYM,main gym,34-37,AAA,ZZZ
607,MATH 556,001,Mathematical Statistics 1,12/17/2019,14:00,GYM,main gym,24-26,AAA,ZZZ
608,MATH 564,001,Advanced Real Analysis 1,12/10/2019,9:00,TAKE,HOME,,AAA,ZZZ
609,MATH 570,001,Higher Algebra 1,12/6/2019,14:00,BURN,1205,,AAA,ZZZ
610,MATH 576,001,Geometry & Topology 1,12/9/2019,14:00,GYM,main gym,35-36,AAA,ZZZ
611,MATH 580,001,Partial Differential Equat's 1,12/18/2019,14:00,BURN,920,,AAA,ZZZ
612,MATH 587,001,Advanced Probability Theory 1,12/20/2019,9:00,BURN,306,,AAA,ZZZ
613,MECH 210,001,Mechanics 1,12/19/2019,14:00,GYM,Fieldhouse,40-46,AAA,ZZZ
614,MECH 210,002,Mechanics 1,12/19/2019,14:00,GYM,Fieldhouse,40-46,AAA,ZZZ
615,MECH 210,003,Mechanics 1,12/19/2019,14:00,GYM,Fieldhouse,40-46,AAA,ZZZ
616,MECH 210,008,Mechanics 1,12/19/2019,14:00,GYM,Fieldhouse,40-46,AAA,ZZZ
617,MECH 220,001,Mechanics 2,12/12/2019,9:00,GYM,Fieldhouse,8-10,AAA,ZZZ
618,MECH 240,001,Thermodynamics 1,12/5/2019,14:00,GYM,Studio 1,1-6,AAA,ZZZ
619,MECH 261,001,Measurement Laboratory,12/12/2019,9:00,GYM,main gym,37-43,AAA,ZZZ
620,MECH 262,001,Statistics and Measurement Lab,12/12/2019,9:00,GYM,main gym,37-43,AAA,ZZZ
621,MECH 309,001,Numerical Methods in Mech Eng,12/16/2019,18:30,GYM,BLEACHERS,1-3,AAA,ZZZ
622,MECH 314,001,Dynamics of Mechanisms,12/19/2019,9:00,GYM,main gym,22-27,AAA,ZZZ
623,COURSE NUMBER,SECTION,TITLE,EXAM DATE,TIME,BUILDING,ROOM,ROW,FROM,TO
624,MECH 315,001,Mechanics 3,12/12/2019,14:00,GYM,main gym,17-19,AAA,ZZZ
625,MECH 321,001,Mechanics of Deformable Solids,12/11/2019,9:00,GYM,main gym,39-43,AAA,ZZZ
626,MECH 331,001,Fluid Mechanics 1,12/10/2019,18:30,GYM,BLEACHERS,1-5,AAA,ZZZ
627,MECH 341,001,Thermodynamics 2,12/9/2019,18:30,GYM,main gym,39-44,AAA,ZZZ
628,MECH 346,001,Heat Transfer,12/10/2019,18:30,GYM,main gym,38-43,AAA,ZZZ
629,MECH 360,001,Principles of Manufacturing,12/6/2019,9:00,GYM,Fieldhouse,31-32,AAA,ZZZ
630,MECH 383,001,Appl Electronics&Instrumentn,12/18/2019,9:00,GYM,Fieldhouse,40-43,AAA,ZZZ
631,MECH 412,001,System Dynamics and Control,12/17/2019,18:30,GYM,Fieldhouse,17-19,AAA,ZZZ
632,MECH 430,001,Fluid Mechanics 2,12/5/2019,14:00,GYM,Fieldhouse,42-44,AAA,ZZZ
